typeCode,freqCode,refPeriodId,refYear,refMonth,period,reporterCode,reporterISO,reporterDesc,flowCode,flowDesc,partnerCode,partnerISO,partnerDesc,partner2Code,partner2ISO,partner2Desc,classificationCode,classificationSearchCode,isOriginalClassification,cmdCode,cmdDesc,aggrLevel,isLeaf,customsCode,customsDesc,mosCode,motCode,motDesc,qtyUnitCode,qtyUnitAbbr,qty,isQtyEstimated,altQtyUnitCode,altQtyUnitAbbr,altQty,isAltQtyEstimated,netWgt,isNetWgtEstimated,grossWgt,isGrossWgtEstimated,cifvalue,fobvalue,primaryValue,legacyEstimationFlag,isReported,isAggregate
"C","M","20230101","2023","1","202301","360","IDN","Indonesia","M","Import","620","PRT","Portugal","0","W00","World","H6","HS","true","2710","Petroleum oils and oils from bituminous minerals, not crude; preparations n.e.c, containing by weight 70% or more of petroleum oils or oils from bituminous minerals; these being the basic constituents of the preparations; waste oils","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","22","false","8","kg","22","false","22","false","0","false","567",,"567","0","false","true",
"C","M","20230101","2023","1","202301","360","IDN","Indonesia","M","Import","634","QAT","Qatar","0","W00","World","H6","HS","true","2710","Petroleum oils and oils from bituminous minerals, not crude; preparations n.e.c, containing by weight 70% or more of petroleum oils or oils from bituminous minerals; these being the basic constituents of the preparations; waste oils","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","11592700","false","8","kg","11592700","false","11592700","false","0","false","13059023",,"13059023","0","false","true",
"C","M","20230101","2023","1","202301","360","IDN","Indonesia","M","Import","643","RUS","Russian Federation","0","W00","World","H6","HS","true","2710","Petroleum oils and oils from bituminous minerals, not crude; preparations n.e.c, containing by weight 70% or more of petroleum oils or oils from bituminous minerals; these being the basic constituents of the preparations; waste oils","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","54629400","false","8","kg","54629400","false","54629400","false","0","false","30424228",,"30424228","0","false","true",
"C","M","20230101","2023","1","202301","360","IDN","Indonesia","M","Import","682","SAU","Saudi Arabia","0","W00","World","H6","HS","true","2710","Petroleum oils and oils from bituminous minerals, not crude; preparations n.e.c, containing by weight 70% or more of petroleum oils or oils from bituminous minerals; these being the basic constituents of the preparations; waste oils","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","39502600","false","8","kg","39502600","false","39502600","false","0","false","27552940",,"27552940","0","false","true",
"C","M","20230101","2023","1","202301","360","IDN","Indonesia","M","Import","699","IND","India","0","W00","World","H6","HS","true","2710","Petroleum oils and oils from bituminous minerals, not crude; preparations n.e.c, containing by weight 70% or more of petroleum oils or oils from bituminous minerals; these being the basic constituents of the preparations; waste oils","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","157641656","false","8","kg","157641656","false","157641656","false","0","false","118267382",,"118267382","0","false","true",
"C","M","20230101","2023","1","202301","360","IDN","Indonesia","M","Import","702","SGP","Singapore","0","W00","World","H6","HS","true","2710","Petroleum oils and oils from bituminous minerals, not crude; preparations n.e.c, containing by weight 70% or more of petroleum oils or oils from bituminous minerals; these being the basic constituents of the preparations; waste oils","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","767552121","false","8","kg","767552121","false","767552121","false","0","false","605830551",,"605830551","0","false","true",
"C","M","20230101","2023","1","202301","360","IDN","Indonesia","M","Import","704","VNM","Viet Nam","0","W00","World","H6","HS","true","2710","Petroleum oils and oils from bituminous minerals, not crude; preparations n.e.c, containing by weight 70% or more of petroleum oils or oils from bituminous minerals; these being the basic constituents of the preparations; waste oils","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","128038","false","8","kg","128038","false","128038","false","0","false","498188",,"498188","0","false","true",
"C","M","20230101","2023","1","202301","360","IDN","Indonesia","M","Import","710","ZAF","South Africa","0","W00","World","H6","HS","true","2710","Petroleum oils and oils from bituminous minerals, not crude; preparations n.e.c, containing by weight 70% or more of petroleum oils or oils from bituminous minerals; these being the basic constituents of the preparations; waste oils","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","185","false","8","kg","185","false","185","false","0","false","737",,"737","0","false","true",
"C","M","20230101","2023","1","202301","360","IDN","Indonesia","M","Import","724","ESP","Spain","0","W00","World","H6","HS","true","2710","Petroleum oils and oils from bituminous minerals, not crude; preparations n.e.c, containing by weight 70% or more of petroleum oils or oils from bituminous minerals; these being the basic constituents of the preparations; waste oils","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","4452","false","8","kg","4452","false","4452","false","0","false","24054",,"24054","0","false","true",
"C","M","20230101","2023","1","202301","360","IDN","Indonesia","M","Import","752","SWE","Sweden","0","W00","World","H6","HS","true","2710","Petroleum oils and oils from bituminous minerals, not crude; preparations n.e.c, containing by weight 70% or more of petroleum oils or oils from bituminous minerals; these being the basic constituents of the preparations; waste oils","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","950","false","8","kg","950","false","950","false","0","false","22938",,"22938","0","false","true",
"C","M","20230101","2023","1","202301","360","IDN","Indonesia","M","Import","757","CHE","Switzerland","0","W00","World","H6","HS","true","2710","Petroleum oils and oils from bituminous minerals, not crude; preparations n.e.c, containing by weight 70% or more of petroleum oils or oils from bituminous minerals; these being the basic constituents of the preparations; waste oils","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","900","false","8","kg","900","false","900","false","0","false","5489",,"5489","0","false","true",
"C","M","20230101","2023","1","202301","360","IDN","Indonesia","M","Import","764","THA","Thailand","0","W00","World","H6","HS","true","2710","Petroleum oils and oils from bituminous minerals, not crude; preparations n.e.c, containing by weight 70% or more of petroleum oils or oils from bituminous minerals; these being the basic constituents of the preparations; waste oils","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","2766915","false","8","kg","2766915","false","2766915","false","0","false","4344328",,"4344328","0","false","true",
